,spam,to_multiple,from,cc,sent_email,image,attach,dollar,winner,inherit,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
76,0,no,yes,no,no,no,no,yes,no,no,no,16615,557,HTML,no,no,no,3,small
77,0,no,yes,no,yes,no,no,no,no,no,no,1732,54,HTML,yes,no,no,0,small
78,0,yes,yes,no,no,no,yes,no,no,no,no,8596,159,HTML,no,no,no,0,small
79,0,no,yes,no,no,no,no,no,no,no,no,2938,81,HTML,yes,no,no,4,small
80,0,no,yes,no,no,no,no,yes,no,no,no,4103,173,HTML,no,no,no,0,small
81,0,no,yes,no,yes,no,no,no,no,no,no,599,16,HTML,no,no,no,0,none
82,0,no,yes,yes,no,no,yes,no,no,no,no,3485,108,Plain,yes,no,no,0,small
83,0,yes,yes,yes,no,no,no,no,no,no,no,4512,107,HTML,no,no,no,0,small
84,0,no,yes,no,no,yes,yes,yes,no,no,no,4761,151,HTML,no,no,no,1,big
85,0,yes,yes,no,yes,no,no,no,no,no,no,64,19,HTML,no,no,no,0,none
86,0,no,yes,no,no,no,no,no,no,no,no,404,76,HTML,no,no,no,4,small
87,0,no,yes,yes,yes,no,no,no,no,no,no,1401,41,HTML,yes,no,no,0,small
88,0,no,yes,yes,yes,no,no,no,no,no,no,9273,248,HTML,yes,no,no,0,small
89,0,no,yes,no,no,no,no,no,no,no,yes,8927,1582,HTML,no,no,no,139,big
90,0,yes,yes,no,yes,no,no,no,no,no,no,1389,37,HTML,no,yes,no,8,small
91,0,no,yes,no,no,no,no,yes,no,no,no,8475,279,HTML,no,no,no,2,small
92,0,no,yes,yes,yes,yes,yes,no,no,no,no,623,17,HTML,yes,no,no,4,big
93,0,no,yes,yes,yes,no,no,no,no,no,no,1132,33,HTML,yes,no,no,4,small
94,0,no,yes,yes,yes,no,no,no,no,no,no,2753,68,HTML,yes,yes,no,16,small
95,0,no,yes,no,yes,no,no,yes,no,no,no,6133,143,HTML,yes,no,no,0,small
96,0,no,yes,no,yes,no,no,no,no,no,no,1589,38,HTML,yes,no,no,0,small
97,0,no,yes,no,yes,no,no,no,no,no,no,932,21,HTML,no,no,no,2,none
98,0,no,yes,no,no,no,no,no,no,no,no,8756,145,HTML,no,no,no,1,small
99,0,no,yes,no,no,no,no,no,no,no,no,3621,82,HTML,no,no,no,0,small
100,0,no,yes,no,no,no,yes,no,no,no,no,10398,130,HTML,no,no,no,2,small
101,0,no,yes,no,no,no,no,no,no,no,no,2454,61,Plain,no,no,no,1,small
102,0,no,yes,no,yes,no,yes,no,no,no,no,347,18,Plain,no,no,no,0,small
103,0,no,yes,no,no,no,no,yes,no,no,no,17405,233,HTML,no,no,no,18,small
104,0,no,yes,no,no,no,no,no,no,no,no,10952,309,HTML,no,no,no,3,big
105,0,no,yes,no,no,no,no,no,no,no,no,15829,242,HTML,no,no,no,4,small
106,0,yes,yes,yes,no,no,no,no,no,no,no,2927,74,Plain,yes,no,no,1,small
107,0,yes,yes,yes,no,no,no,no,no,no,no,15038,297,HTML,yes,no,no,4,big
108,0,yes,yes,no,yes,no,no,yes,no,no,no,2404,75,HTML,no,no,no,4,small
109,0,no,yes,yes,yes,no,no,yes,no,no,no,4373,120,HTML,yes,no,no,7,small
110,0,no,yes,no,yes,no,no,no,no,no,no,4995,130,HTML,yes,no,no,8,small
111,0,yes,yes,yes,no,no,no,no,no,no,no,4337,94,Plain,yes,no,no,1,small
112,0,no,yes,yes,no,no,no,no,no,no,no,4736,109,Plain,yes,no,no,2,small
113,0,no,yes,no,no,no,no,no,no,no,no,3215,183,HTML,no,no,no,0,big
114,0,no,yes,no,yes,no,no,no,no,no,no,1651,394,HTML,yes,no,no,8,small
115,0,no,yes,no,no,no,no,no,no,no,no,6717,114,HTML,no,no,no,1,small
116,0,no,yes,no,yes,no,no,no,no,no,no,21705,551,HTML,yes,no,no,8,small
117,0,no,yes,no,yes,no,no,no,no,no,no,27071,721,HTML,yes,no,no,10,small
118,0,no,yes,yes,no,no,no,no,no,no,no,6056,141,Plain,yes,no,no,3,small
119,0,no,yes,no,no,no,no,no,no,no,no,1653,25,HTML,no,no,no,0,small
120,0,no,yes,no,yes,no,no,no,no,no,no,31112,875,HTML,yes,no,no,16,small
121,0,no,yes,no,yes,no,no,no,no,no,no,7193,148,HTML,yes,no,no,10,small
122,0,no,yes,yes,yes,no,no,no,no,no,no,6264,135,HTML,yes,no,no,4,big
123,0,no,yes,no,yes,no,no,no,no,no,no,12862,333,HTML,yes,no,no,4,small
124,0,no,yes,yes,yes,no,no,no,no,no,no,7861,242,HTML,yes,no,no,7,small
125,0,no,yes,no,yes,no,no,no,no,no,no,1706,426,HTML,yes,no,no,8,small
126,0,yes,yes,no,yes,no,no,no,no,no,no,5887,89,Plain,no,no,no,0,small
127,0,no,yes,no,no,no,no,no,no,no,no,23172,456,HTML,no,no,no,57,small
128,0,no,yes,no,no,no,no,no,no,no,no,8544,172,HTML,no,no,no,2,big
129,0,no,yes,no,no,no,no,yes,no,no,no,1041,31,Plain,no,no,no,2,small
130,0,no,yes,no,no,no,no,yes,no,no,no,1041,31,Plain,no,no,no,2,small
131,0,no,yes,no,no,no,no,yes,no,no,yes,17853,345,HTML,no,yes,no,18,small
132,0,no,yes,no,no,no,no,yes,no,no,yes,17853,345,HTML,no,yes,no,18,small
133,0,no,yes,no,no,no,no,no,no,no,no,24202,680,HTML,no,no,no,4,small
134,0,yes,yes,no,no,no,no,no,no,no,no,8347,202,HTML,no,no,no,5,big
135,0,no,yes,no,yes,no,no,no,no,no,no,44591,1307,HTML,no,no,no,36,big
136,0,no,yes,no,yes,no,no,no,no,no,no,9374,252,HTML,yes,no,no,2,big
137,0,no,yes,no,no,no,no,no,no,no,no,3416,57,HTML,no,no,no,0,big
138,0,no,yes,no,yes,no,no,yes,no,no,no,11615,210,HTML,yes,no,no,4,small
139,0,no,yes,yes,yes,no,no,yes,no,no,no,401,118,HTML,yes,no,no,6,small
140,0,yes,yes,no,no,no,no,no,no,no,no,9816,130,Plain,no,no,no,0,small
141,0,no,yes,no,no,no,no,yes,no,no,no,10996,213,HTML,no,no,no,5,big
142,0,no,yes,no,no,no,no,no,no,no,no,639,154,HTML,no,yes,no,0,none
143,0,no,yes,no,no,no,no,yes,no,no,no,20191,266,HTML,no,yes,no,30,small
144,0,yes,yes,no,yes,yes,yes,no,no,no,no,21634,691,HTML,no,no,no,15,big
145,0,yes,yes,no,yes,no,no,no,no,no,no,9754,327,HTML,no,no,no,9,big
146,0,no,yes,no,no,no,no,no,no,no,yes,10366,198,HTML,no,no,no,1,big
147,0,no,yes,no,no,no,no,yes,no,yes,no,7764,192,HTML,no,no,no,6,small
148,0,no,yes,no,no,no,no,no,no,no,no,13437,255,HTML,no,no,no,45,small
149,0,no,yes,no,yes,no,no,no,no,no,no,3186,67,HTML,yes,no,no,0,small
150,0,yes,yes,no,yes,no,no,no,no,no,no,17835,568,HTML,yes,no,no,11,big
151,0,yes,yes,no,no,yes,yes,no,no,no,no,5159,82,Plain,no,no,no,0,small
152,0,no,yes,yes,yes,no,no,no,no,no,no,9871,340,HTML,no,no,no,11,big
153,0,no,yes,no,no,no,no,no,no,no,no,619,126,HTML,no,no,no,0,small
154,0,no,yes,no,no,no,no,no,no,no,no,8768,152,HTML,no,no,no,4,small
155,0,no,yes,no,no,no,no,yes,no,no,no,1594,51,Plain,no,yes,no,0,small
156,0,no,yes,yes,no,no,no,no,no,no,no,14345,303,HTML,yes,no,no,4,big
157,0,no,yes,no,yes,no,no,no,no,no,no,342,11,Plain,yes,no,no,0,small
158,0,no,yes,no,yes,no,no,no,no,no,no,664,99,Plain,yes,no,no,3,small
159,0,no,yes,no,no,no,no,yes,no,no,no,10366,177,HTML,no,yes,no,12,small
160,0,no,yes,no,yes,no,no,no,no,no,no,12374,190,Plain,yes,no,no,5,small
161,0,no,yes,no,yes,no,no,no,no,no,no,16689,254,Plain,yes,no,no,5,small
162,0,no,yes,yes,yes,no,no,no,no,no,yes,4945,120,HTML,no,no,no,2,small
163,0,no,yes,no,no,no,no,no,no,no,no,1384,27,HTML,no,no,no,2,small
164,0,no,yes,yes,yes,no,no,no,no,no,no,958,20,HTML,no,yes,no,4,none
165,0,no,yes,no,yes,no,no,no,no,no,no,3492,75,HTML,yes,no,no,2,small
166,0,yes,yes,no,yes,no,yes,no,no,no,no,5834,127,HTML,no,no,no,5,small
167,0,yes,yes,no,yes,no,no,no,no,no,no,271,74,HTML,no,no,no,0,small
168,0,no,yes,yes,yes,no,no,no,no,no,no,3231,91,HTML,yes,no,no,0,small
169,0,no,yes,no,no,no,no,no,no,no,no,3717,72,HTML,no,no,no,0,small
170,0,no,yes,yes,yes,no,no,no,no,no,no,33748,815,HTML,yes,no,no,71,big
171,0,yes,yes,no,no,no,no,no,no,no,no,293,45,Plain,no,yes,no,3,small
172,0,yes,yes,no,no,no,no,no,no,no,no,8014,113,Plain,no,no,no,0,small
173,0,yes,yes,yes,no,no,no,no,no,no,no,4462,85,Plain,no,no,no,0,small
174,0,no,yes,no,no,no,no,yes,no,no,no,26777,435,HTML,no,yes,no,7,small
175,0,no,yes,no,no,no,no,no,no,no,no,17292,390,HTML,no,no,no,29,small
176,0,no,yes,no,no,no,no,no,no,no,no,10004,197,HTML,no,no,no,0,big
177,0,no,yes,no,no,no,no,yes,no,no,no,101727,2189,HTML,no,no,no,23,small
178,0,no,yes,yes,yes,no,no,no,no,no,no,4823,135,HTML,yes,no,no,0,small
179,0,no,yes,no,yes,no,no,yes,no,no,no,321,77,HTML,yes,no,no,0,small
180,0,no,yes,yes,yes,no,no,no,no,no,no,3334,73,HTML,yes,yes,no,12,small
181,0,no,yes,no,no,no,no,no,no,no,yes,1501,45,HTML,no,no,no,1,small
182,0,no,yes,no,no,no,no,no,no,no,yes,10366,198,HTML,no,no,no,1,big
183,0,no,yes,no,no,no,no,yes,no,no,no,14221,201,HTML,no,no,no,24,small
184,0,no,yes,no,no,no,no,no,no,no,no,4792,104,HTML,no,no,no,0,small
185,0,no,yes,no,no,no,no,yes,no,no,no,49042,828,HTML,no,no,no,1,small
186,0,no,yes,no,no,yes,yes,no,no,no,no,7974,104,Plain,no,no,no,0,none
187,0,no,yes,no,no,no,no,yes,no,yes,no,7734,192,HTML,no,no,no,6,small
188,0,no,yes,no,no,no,no,no,no,no,no,13484,255,HTML,no,no,no,45,small
189,0,yes,yes,no,no,no,no,no,no,no,no,2881,50,Plain,no,no,no,0,small
190,0,yes,yes,no,no,no,no,no,no,no,no,3943,47,Plain,no,no,no,0,small
191,0,no,yes,no,no,no,no,yes,no,no,no,22344,411,HTML,no,no,no,49,small
192,0,no,yes,no,no,no,no,yes,no,no,no,8666,145,HTML,no,yes,no,8,small
193,0,no,yes,no,no,no,no,no,no,no,no,5066,106,HTML,no,yes,no,0,small
194,0,yes,yes,no,no,no,no,no,no,no,no,4415,61,Plain,no,no,no,1,small
195,0,no,yes,no,yes,no,no,no,no,no,no,2174,49,HTML,yes,no,no,2,small
196,0,no,yes,no,yes,no,no,no,no,no,no,368,12,HTML,no,no,no,0,small
197,0,no,yes,no,yes,no,no,no,no,no,no,1567,48,HTML,yes,no,no,0,small
198,0,no,yes,no,yes,no,no,no,no,no,no,116,34,HTML,yes,no,no,0,small
199,0,no,yes,no,no,no,no,no,no,no,no,3271,64,HTML,no,no,no,4,none
200,0,no,yes,no,no,no,no,no,no,no,yes,10366,198,HTML,no,no,no,1,big
201,0,no,yes,no,yes,no,no,no,no,no,no,441,16,HTML,yes,no,no,0,small
202,0,no,yes,no,yes,no,no,no,no,no,no,122,7,Plain,yes,no,no,0,small
203,0,yes,yes,no,no,no,no,no,no,no,no,9961,210,HTML,no,no,no,0,big
204,0,no,yes,no,no,no,no,no,no,no,no,3872,89,HTML,no,no,no,0,big
205,0,no,yes,no,no,no,no,no,no,no,no,3243,37,HTML,no,no,no,1,small
206,0,no,yes,no,no,no,no,no,no,no,no,3363,375,HTML,no,no,no,8,small
207,0,no,yes,no,no,no,no,no,no,no,no,8763,145,HTML,no,no,no,3,small
208,0,no,yes,no,no,no,no,no,no,no,no,8535,208,HTML,no,no,no,0,small
209,0,no,yes,no,no,no,no,yes,no,yes,no,10017,238,HTML,no,no,no,7,small
210,0,no,yes,no,yes,no,no,yes,no,no,no,2088,29,HTML,no,no,no,0,big
211,0,no,yes,no,no,no,no,yes,no,no,no,1717,578,HTML,no,no,no,3,small
212,0,no,yes,no,no,no,no,no,no,no,no,1105,260,HTML,no,no,no,3,small
213,0,no,yes,no,yes,no,no,yes,no,no,no,4607,84,HTML,yes,no,no,2,big
214,0,no,yes,no,no,no,no,no,no,no,no,6724,114,HTML,no,no,no,1,small
215,0,yes,yes,no,yes,yes,yes,no,no,no,no,7335,251,HTML,no,no,no,6,big
216,0,no,yes,no,no,no,no,no,no,no,no,9635,164,HTML,no,no,no,1,small
217,0,no,yes,no,no,no,no,no,no,no,no,16043,256,HTML,no,no,no,1,small
218,0,no,yes,no,no,no,no,no,no,no,no,7515,126,HTML,no,no,no,1,small
219,0,no,yes,no,no,no,no,no,no,no,no,16022,255,HTML,no,no,no,1,small
220,0,yes,yes,no,no,no,no,no,no,no,no,1228,30,Plain,no,no,no,2,small
221,0,no,yes,no,no,no,no,no,no,no,no,6832,116,HTML,no,no,no,1,small
222,0,no,yes,no,yes,no,no,no,no,no,no,789,22,Plain,yes,no,no,0,small
223,0,yes,yes,no,no,no,no,no,no,no,no,5339,95,HTML,no,no,no,4,big
224,0,no,yes,no,no,no,no,no,no,no,no,8693,175,HTML,no,no,no,0,big
225,0,no,yes,no,no,no,no,no,no,no,no,6846,116,HTML,no,no,no,1,small
226,0,no,yes,no,no,no,no,no,no,no,no,15909,254,HTML,no,no,no,1,small
227,0,no,yes,no,no,no,no,no,no,no,no,8504,142,HTML,no,no,no,1,small
228,0,no,yes,no,no,no,no,no,no,no,no,6854,116,HTML,no,no,no,1,small
229,0,yes,yes,yes,no,no,no,no,no,no,no,5223,91,Plain,no,no,no,0,small
230,0,yes,yes,no,no,no,no,no,no,no,no,1683,34,HTML,no,yes,no,6,small
231,0,no,yes,no,no,no,no,no,no,no,no,8553,143,HTML,no,no,no,1,small
232,0,no,yes,yes,yes,no,no,no,no,no,no,3388,77,HTML,yes,yes,no,10,small
233,0,no,yes,no,no,no,no,no,no,no,no,8002,134,HTML,no,no,no,1,small
234,0,no,yes,no,yes,no,no,no,no,no,no,2937,64,Plain,yes,no,no,2,small
235,0,no,yes,yes,yes,no,no,no,no,no,no,6202,130,HTML,yes,no,no,6,big
236,0,no,yes,no,no,no,no,no,no,no,no,16204,257,HTML,no,no,no,1,small
237,0,no,yes,yes,no,no,no,no,no,no,no,739,101,HTML,yes,no,no,6,big
238,0,no,yes,yes,no,no,no,no,no,no,no,4465,102,HTML,yes,yes,no,10,small
239,0,no,yes,yes,yes,no,no,no,no,no,no,7411,178,HTML,yes,yes,no,14,small
240,0,no,yes,no,no,no,no,no,no,no,no,13338,255,HTML,no,no,no,45,small
241,0,no,yes,no,no,no,no,yes,no,no,no,26404,405,HTML,no,no,no,13,small
242,0,no,yes,no,no,no,no,no,no,no,no,6804,115,HTML,no,no,no,1,small
243,0,no,yes,no,no,no,no,no,no,no,no,683,116,HTML,no,no,no,1,small
244,0,no,yes,no,no,no,no,no,no,no,no,5254,92,HTML,no,no,no,3,small
245,0,no,yes,no,no,no,no,yes,no,no,no,16659,262,HTML,no,yes,no,20,small
246,0,no,yes,yes,yes,no,no,no,no,no,no,8527,211,HTML,yes,yes,no,20,small
247,0,no,yes,no,no,no,no,no,no,no,no,13116,211,HTML,no,no,no,1,small
248,0,no,yes,no,no,no,no,no,no,no,no,381,98,HTML,no,no,no,0,small
249,0,no,yes,no,no,no,no,no,no,no,no,7612,128,HTML,no,no,no,1,small
250,0,no,yes,no,no,no,no,no,no,no,no,927,151,HTML,no,no,no,1,small
251,0,no,yes,no,no,no,no,no,no,no,no,5266,145,HTML,no,no,no,4,small
252,0,no,yes,yes,yes,no,no,no,no,no,yes,13404,292,HTML,yes,no,no,4,small
253,0,no,yes,yes,yes,no,no,yes,no,no,no,139,29,Plain,no,no,no,0,small
254,0,no,yes,yes,yes,no,no,no,no,no,no,878,27,HTML,yes,no,no,2,small
255,0,no,yes,no,no,no,no,no,no,no,no,6877,117,HTML,no,no,no,1,small
256,0,no,yes,no,no,no,no,no,no,no,no,3928,91,HTML,no,no,no,0,small
257,0,no,yes,no,no,no,no,yes,no,yes,no,7805,194,HTML,no,no,no,6,small
258,0,no,yes,no,yes,no,no,no,no,no,no,2705,46,Plain,yes,no,no,1,none
259,0,yes,yes,no,no,no,no,no,no,no,no,5151,95,Plain,no,no,no,0,small
260,0,no,yes,no,no,no,no,yes,no,no,no,456,98,HTML,no,no,no,2,big
261,0,yes,yes,no,yes,no,no,no,no,no,no,5887,89,Plain,no,no,no,0,small
262,0,no,yes,no,no,no,no,no,no,no,no,5255,106,HTML,no,no,no,4,small
263,0,no,yes,no,no,no,no,no,no,no,no,5682,87,HTML,no,no,no,0,small
264,0,no,yes,no,yes,no,no,no,no,no,no,28,63,HTML,yes,no,no,2,small
265,0,yes,yes,no,yes,no,no,no,no,no,no,406,13,HTML,no,no,no,0,none
266,0,no,yes,no,yes,no,no,no,no,no,no,56,140,HTML,yes,no,no,4,small
267,0,yes,yes,no,no,no,no,no,no,no,no,3991,47,Plain,no,no,no,0,small
268,0,no,yes,no,no,no,no,no,no,no,yes,23747,396,HTML,no,no,no,8,big
269,0,no,yes,no,no,no,no,no,no,no,no,27217,402,HTML,no,no,no,14,small
270,0,no,yes,no,yes,no,no,no,no,no,no,1041,225,HTML,yes,no,no,4,small
271,0,no,yes,yes,yes,no,no,no,no,no,no,7015,227,Plain,yes,no,no,0,big
272,0,yes,yes,yes,yes,no,no,no,no,no,no,23237,527,HTML,yes,no,no,0,big
273,0,no,yes,yes,yes,no,no,no,no,no,no,2467,59,HTML,yes,no,no,4,small
274,0,yes,yes,no,yes,no,yes,no,no,no,no,4315,99,Plain,no,no,no,0,small
275,0,no,yes,no,no,no,no,yes,no,no,no,12441,224,HTML,no,no,no,22,small
276,0,no,yes,no,no,no,no,no,no,no,no,7117,121,HTML,no,no,no,1,small
277,0,no,yes,no,no,no,no,no,no,no,no,10233,169,HTML,no,no,no,1,small
278,0,no,yes,no,no,no,no,no,no,no,no,6841,116,HTML,no,no,no,1,small
279,0,no,yes,no,no,no,no,yes,no,no,no,16103,363,HTML,no,yes,no,2,small
280,0,no,yes,no,no,no,no,no,no,no,no,8481,228,HTML,no,no,no,0,small
281,0,no,yes,no,no,no,no,yes,no,yes,no,7767,192,HTML,no,no,no,6,small
282,0,no,yes,no,no,no,no,yes,no,no,no,28777,547,HTML,no,yes,no,16,small
283,0,yes,yes,no,no,no,no,yes,no,no,no,2645,43,Plain,no,no,no,0,small
284,0,no,yes,no,no,no,no,no,no,no,no,15867,253,HTML,no,no,no,1,small
285,0,yes,yes,no,no,no,no,no,no,no,no,3983,47,Plain,no,no,no,0,small
286,0,yes,yes,yes,yes,yes,yes,no,no,no,no,691,217,HTML,no,yes,no,11,big
287,0,no,yes,no,no,no,no,no,no,no,no,45,14,Plain,no,no,no,0,none
288,0,yes,yes,no,no,no,no,no,no,no,no,453,20,Plain,no,no,no,0,small
289,0,yes,yes,no,no,no,no,no,no,no,no,10376,240,HTML,no,no,no,5,big
290,0,yes,yes,no,no,no,yes,no,no,no,no,8596,159,HTML,no,no,no,0,small
291,0,yes,yes,no,no,no,yes,no,no,no,no,10216,202,HTML,no,no,no,2,small
292,0,no,yes,no,yes,no,no,no,no,no,no,2612,48,HTML,yes,no,no,0,small
293,0,no,yes,no,no,no,no,no,no,no,no,2777,82,HTML,no,no,no,5,small
294,0,no,yes,no,no,no,no,no,no,no,no,15918,254,HTML,no,no,no,1,small
295,0,no,yes,no,no,no,no,yes,no,no,no,855,150,HTML,no,yes,no,12,small
296,0,no,yes,no,yes,no,no,no,no,no,no,193,7,HTML,no,no,no,0,none
297,0,yes,yes,no,yes,no,no,no,no,no,no,43,13,HTML,no,no,no,0,none
298,0,no,yes,no,no,no,no,no,no,no,no,6855,116,HTML,no,no,no,1,small
299,0,no,yes,no,no,no,no,no,no,no,no,201,8,Plain,yes,no,no,2,none
300,0,no,yes,yes,no,no,yes,no,no,no,no,1765,44,Plain,no,no,no,0,big
301,0,no,yes,no,yes,no,no,no,no,no,no,215,6,Plain,yes,no,no,0,none
302,0,no,yes,no,yes,no,no,no,no,no,no,68,6,Plain,yes,no,no,0,none
303,0,no,yes,no,yes,no,no,no,no,no,no,3931,125,HTML,yes,no,no,2,small
304,0,no,yes,no,no,no,no,no,no,no,no,4755,135,HTML,no,no,no,1,small
305,0,yes,yes,no,no,no,no,no,no,no,no,1011,38,Plain,no,no,no,0,none
